symbol,company_name,delisted,listing_date,delisting_date,sector_code,isin,shares_outstanding,board
COMB.N0000,Commercial Bank of Ceylon PLC,false,1999-03-04,,4010,,1467151555,Main
CTC.N0000,Ceylon Tobacco Company PLC,false,1996-01-02,,3020,,187323751,Main
DIAL.N0000,Dialog Axiata PLC,false,2005-07-28,,5030,,9855064420,Main
HNB.N0000,Hatton National Bank PLC,false,1999-05-17,,4010,,565107403,Main
JKH.N0000,John Keells Holdings PLC,false,1995-01-02,,2010,,1513637385,Main
SAMP.N0000,Sampath Bank PLC,false,1997-01-02,,4010,,1174509862,Main
